一级科室,二级科室,科室简介
内科,消化内科,负责诊治消化系统疾病，包括胃炎、胃溃疡、肝炎、肠炎、消化不良等。提供胃肠镜检查、消化道肿瘤筛查等服务。
内科,呼吸内科,专注于呼吸系统疾病的诊断与治疗，包括哮喘、肺炎、慢性支气管炎、慢阻肺等。提供呼吸功能测试、肺部影像检查等服务。
内科,心血管内科,负责心血管疾病的治疗，如高血压、冠心病、心律失常、心肌梗死等。提供心电图、心脏超声、冠脉造影等检查。
内科,肾内科,主要诊治肾脏疾病，如慢性肾炎、肾病综合征、尿路感染、肾衰竭等。提供肾功能检查、尿液分析等。
外科,普通外科,负责一般外科疾病的治疗，如阑尾炎、疝气、胆结石、胃肠道肿瘤等。提供手术治疗、术后护理等服务。
外科,胸外科,专注于胸腔疾病的外科治疗，包括肺癌、气胸、纵膈肿瘤等。提供胸腔镜、胸部手术等服务。
外科,心血管外科,负责心血管疾病的外科治疗，如心脏瓣膜病、先天性心脏病、冠状动脉旁路移植术等。提供心脏外科手术。
外科,泌尿外科,主要诊治泌尿系统疾病，如肾结石、膀胱肿瘤、前列腺增生等。提供微创手术、膀胱镜检查等服务。
妇产科,妇科,专注于女性生殖系统疾病，如月经失调、卵巢囊肿、子宫肌瘤、宫颈癌筛查等。提供妇科检查和治疗。
妇产科,产科,负责孕产期保健、分娩管理、产后护理等服务，确保母婴健康。提供产前筛查、分娩护理等服务。
儿科,新生儿科,专注于新生儿疾病和健康管理，如新生儿黄疸、先天性疾病筛查、早产儿护理等。
儿科,小儿呼吸科,负责小儿呼吸系统疾病的治疗，如小儿哮喘、支气管炎、肺炎等。
儿科,小儿消化科,诊治小儿消化系统疾病，如小儿腹泻、便秘、胃炎等。
眼科,眼外科,主要进行眼部手术治疗，如白内障、青光眼、眼外伤手术等。
眼科,眼底科,负责眼底疾病的诊治，如黄斑病变、视网膜脱离、糖尿病性视网膜病变等。
口腔科,牙体牙髓科,专注于牙体牙髓病的治疗，如龋齿、根管治疗、牙髓炎等。
口腔科,牙周科,负责牙周病的治疗，如牙龈炎、牙周炎、牙周手术等。
皮肤科,医学美容科,提供皮肤美容服务，如激光美容、皮肤抗衰老、色素性疾病治疗等。
皮肤科,皮肤病科,负责皮肤病的诊断与治疗，如湿疹、皮炎、皮肤真菌感染等。
精神科,心理咨询门诊,提供心理咨询和治疗服务，帮助患者管理情绪、应对心理压力、改善心理健康。
精神科,精神病门诊,专注于精神疾病的治疗，如抑郁症、焦虑症、精神分裂症等。
康复科,运动康复科,提供运动损伤后的康复训练和治疗服务，帮助患者恢复正常功能。
康复科,神经康复科,针对神经损伤后康复的专业科室，提供脑卒中、脊髓损伤等康复训练。
中医科,针灸科,提供针灸治疗，缓解疼痛和促进身体自愈，适用于多种慢性病症。
中医科,推拿按摩科,通过推拿和按摩治疗肌肉、关节疼痛、运动损伤等。
中医科,中药调理科,通过中药调理，帮助改善慢性病和亚健康状态。
营养科,临床营养科,根据患者需求提供个性化营养指导，适用于糖尿病、高血压、肥胖等患者的饮食管理。
放射科,影像诊断科,通过X光、CT、MRI等技术进行影像诊断，支持各科室的病情诊断。
检验科,临床检验科,进行血液、尿液等样本的实验室检测，辅助疾病诊断和监控。
重症监护科,ICU,提供重症监护和支持治疗，适用于急危重症患者的治疗与监控。
神经内科,脑血管病科,负责脑卒中、动脉瘤等脑血管疾病的治疗和康复。提供脑血管造影、脑电图等检查。
神经内科,癫痫科,专注于癫痫的诊断和治疗，提供长期监测、药物调节等服务。
神经外科,功能神经外科,负责神经系统功能性疾病的外科治疗，如帕金森病、癫痫等。提供深部脑刺激手术等。
普通外科,腹部外科,专注于腹部疾病的外科治疗，如胆囊炎、肠梗阻、胰腺炎等。
心胸外科,心脏外科,主要治疗心脏疾病的外科，如心脏瓣膜病、冠心病等。提供心脏搭桥、瓣膜置换等手术。
耳鼻喉科,耳科,诊治耳部疾病，如中耳炎、听力障碍、耳鸣等。提供听力测试、耳内窥镜检查等。
耳鼻喉科,鼻科,专注于鼻部疾病，如鼻炎、鼻窦炎、鼻息肉等。提供鼻内镜手术、鼻功能检测等服务。
耳鼻喉科,咽喉科,负责咽喉疾病，如咽炎、喉炎、声带疾病等。提供喉镜检查、声带矫正等治疗。
感染科,肝病科,主要诊治肝脏疾病，包括乙肝、丙肝、肝硬化等。提供肝功能检测和抗病毒治疗。
感染科,艾滋病科,专门为艾滋病患者提供诊断、治疗和支持服务。
重症科,急诊重症科,为急诊科中的重症患者提供抢救和监护治疗。
口腔科,牙齿矫正科,专注于牙齿矫正，提供牙齿整形、牙齿美白等服务。
内科,老年病科,关注老年人特有的疾病和健康问题，如老年痴呆、帕金森病、高血压等。
